direction,message_type,messages_with_valid_timestamp,min_datetime,max_datetime,busiest_hour,busiest_weekday
direct,Direct messages,4915,2022-01-03 05:27:00,2022-01-09 18:35:00,10,Wednesday
group,Group messages,2547,2022-01-03 05:36:00,2022-01-09 11:03:00,14,Friday
