comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,bist,80,7,87,0.9068,0.0888,0.818,3.262,63.9839,direct,88221,78851
direct_vs_group_psychosomatic,aktives,1,48,49,0.0113,0.6087,-0.5974,-5.1769,63.5971,group,88221,78851
direct_vs_group_psychosomatic,so,301,118,419,3.4119,1.4965,1.9154,1.1853,63.4553,direct,88221,78851
direct_vs_group_psychosomatic,es,784,440,1224,8.8868,5.5801,3.3066,0.6706,63.2244,direct,88221,78851
direct_vs_group_psychosomatic,Patient,397,590,987,4.5001,7.4825,-2.9824,-0.733,62.7643,group,88221,78851
direct_vs_group_psychosomatic,Morgen,113,21,134,1.2809,0.2663,1.0145,2.2383,59.4939,direct,88221,78851
direct_vs_group_psychosomatic,Link,117,23,140,1.3262,0.2917,1.0345,2.1599,58.889,direct,88221,78851
direct_vs_group_psychosomatic,am,366,546,912,4.1487,6.9245,-2.7758,-0.7384,58.845,group,88221,78851
direct_vs_group_psychosomatic,Ja,101,17,118,1.1449,0.2156,0.9293,2.3741,57.2246,direct,88221,78851
direct_vs_group_psychosomatic,Umgang,5,57,62,0.0567,0.7229,-0.6662,-3.5481,57.222,group,88221,78851
direct_vs_group_psychosomatic,auch,690,385,1075,7.8213,4.8826,2.9386,0.6789,56.8746,direct,88221,78851
direct_vs_group_psychosomatic,jetzt,283,114,397,3.2079,1.4458,1.7621,1.146,56.5642,direct,88221,78851
direct_vs_group_psychosomatic,gerne,177,54,231,2.0063,0.6848,1.3215,1.5415,55.921,direct,88221,78851
direct_vs_group_psychosomatic,00,58,152,210,0.6574,1.9277,-1.2702,-1.5443,54.8241,group,88221,78851
direct_vs_group_psychosomatic,Guten,96,16,112,1.0882,0.2029,0.8853,2.3861,54.7689,direct,88221,78851
direct_vs_group_psychosomatic,ist,853,507,1360,9.6689,6.4298,3.2391,0.588,54.4354,direct,88221,78851
direct_vs_group_psychosomatic,Depression,6,57,63,0.068,0.7229,-0.6549,-3.307,53.6355,group,88221,78851
direct_vs_group_psychosomatic,einfach,79,10,89,0.8955,0.1268,0.7687,2.7586,53.3601,direct,88221,78851
direct_vs_group_psychosomatic,hab,104,20,124,1.1789,0.2536,0.9252,2.1878,53.292,direct,88221,78851
