comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_nonadjacent,Kontrolle,17,61,78,0.1927,0.7011,-0.5084,-1.8333,26.9562,group,88221,87002
direct_vs_group_nonadjacent,2,95,178,273,1.0768,2.0459,-0.9691,-0.9224,26.8064,group,88221,87002
direct_vs_group_nonadjacent,VP,0,19,19,0.0,0.2184,-0.2184,-5.3055,26.6049,group,88221,87002
direct_vs_group_nonadjacent,ah,31,3,34,0.3514,0.0345,0.3169,3.1499,26.4524,direct,88221,87002
direct_vs_group_nonadjacent,deinen,31,3,34,0.3514,0.0345,0.3169,3.1499,26.4524,direct,88221,87002
direct_vs_group_nonadjacent,geht,137,64,201,1.5529,0.7356,0.8173,1.072,26.1224,direct,88221,87002
direct_vs_group_nonadjacent,sag,19,0,19,0.2154,0.0,0.2154,5.2653,26.0761,direct,88221,87002
direct_vs_group_nonadjacent,wolle,7,40,47,0.0793,0.4598,-0.3804,-2.453,26.0565,group,88221,87002
direct_vs_group_nonadjacent,kein,68,138,206,0.7708,1.5862,-0.8154,-1.0358,25.2507,group,88221,87002
direct_vs_group_nonadjacent,Anwesend,0,18,18,0.0,0.2069,-0.2069,-5.2295,25.2046,group,88221,87002
direct_vs_group_nonadjacent,glaube,64,19,83,0.7255,0.2184,0.5071,1.7058,25.1385,direct,88221,87002
direct_vs_group_nonadjacent,Sa,7,39,46,0.0793,0.4483,-0.3689,-2.417,24.9826,group,88221,87002
direct_vs_group_nonadjacent,Desktop,18,0,18,0.204,0.0,0.204,5.1894,24.7037,direct,88221,87002
direct_vs_group_nonadjacent,dein,18,0,18,0.204,0.0,0.204,5.1894,24.7037,direct,88221,87002
direct_vs_group_nonadjacent,termin,18,0,18,0.204,0.0,0.204,5.1894,24.7037,direct,88221,87002
direct_vs_group_nonadjacent,große,5,34,39,0.0567,0.3908,-0.3341,-2.6692,24.6,group,88221,87002
direct_vs_group_nonadjacent,gar,52,13,65,0.5894,0.1494,0.44,1.9393,24.5173,direct,88221,87002
direct_vs_group_nonadjacent,oder,299,187,486,3.3892,2.1494,1.2398,0.6556,24.5093,direct,88221,87002
direct_vs_group_nonadjacent,Angst,16,56,72,0.1814,0.6437,-0.4623,-1.7959,24.0955,group,88221,87002
direct_vs_group_nonadjacent,Hab,26,2,28,0.2947,0.023,0.2717,3.3859,24.0738,direct,88221,87002
direct_vs_group_nonadjacent,L,0,17,17,0.0,0.1954,-0.1954,-5.1494,23.8044,group,88221,87002
direct_vs_group_nonadjacent,brachte,0,17,17,0.0,0.1954,-0.1954,-5.1494,23.8044,group,88221,87002
direct_vs_group_nonadjacent,Aber,53,14,67,0.6008,0.1609,0.4398,1.8634,23.6581,direct,88221,87002
direct_vs_group_nonadjacent,verlassen,2,25,27,0.0227,0.2873,-0.2647,-3.3706,23.4925,group,88221,87002
direct_vs_group_nonadjacent,BIA,22,1,23,0.2494,0.0115,0.2379,3.8868,23.3668,direct,88221,87002
direct_vs_group_nonadjacent,über,144,235,379,1.6323,2.7011,-1.0688,-0.7247,23.3491,group,88221,87002
direct_vs_group_nonadjacent,schau,17,0,17,0.1927,0.0,0.1927,5.1092,23.3313,direct,88221,87002
direct_vs_group_nonadjacent,wollte,107,47,154,1.2129,0.5402,0.6726,1.1583,23.1798,direct,88221,87002
direct_vs_group_nonadjacent,eigenen,6,35,41,0.068,0.4023,-0.3343,-2.4694,23.1061,group,88221,87002
direct_vs_group_nonadjacent,fühle,4,30,34,0.0453,0.3448,-0.2995,-2.7809,22.8671,group,88221,87002
direct_vs_group_nonadjacent,kaum,4,30,34,0.0453,0.3448,-0.2995,-2.7809,22.8671,group,88221,87002
direct_vs_group_nonadjacent,Schmerz,1,21,22,0.0113,0.2414,-0.23,-3.8614,22.6419,group,88221,87002
