comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_full,aktives,1,48,49,0.0113,0.5316,-0.5202,-4.9814,57.0788,group,88221,90297
direct_vs_group_full,00,58,172,230,0.6574,1.9048,-1.2474,-1.5265,56.4603,group,88221,90297
direct_vs_group_full,Ja,101,23,124,1.1449,0.2547,0.8901,2.1443,54.7887,direct,88221,90297
direct_vs_group_full,alle,62,175,237,0.7028,1.938,-1.2353,-1.456,53.5348,group,88221,90297
direct_vs_group_full,Alle,4,56,60,0.0453,0.6202,-0.5748,-3.6167,52.5847,group,88221,90297
direct_vs_group_full,ÖGD,9,70,79,0.102,0.7752,-0.6732,-2.8581,52.0757,group,88221,90297
direct_vs_group_full,am,366,597,963,4.1487,6.6115,-2.4628,-0.6716,50.7126,group,88221,90297
direct_vs_group_full,Umgang,5,57,62,0.0567,0.6313,-0.5746,-3.3525,49.9867,group,88221,90297
direct_vs_group_full,dann,541,342,883,6.1323,3.7875,2.3448,0.6944,49.9838,direct,88221,90297
direct_vs_group_full,fertig,94,22,116,1.0655,0.2436,0.8219,2.1039,49.8129,direct,88221,90297
direct_vs_group_full,Depression,6,59,65,0.068,0.6534,-0.5854,-3.1608,48.8654,group,88221,90297
direct_vs_group_full,ist,853,606,1459,9.6689,6.7112,2.9577,0.5264,47.96,direct,88221,90297
direct_vs_group_full,gleich,97,25,122,1.0995,0.2769,0.8226,1.9685,47.0757,direct,88221,90297
direct_vs_group_full,bB,3,48,51,0.034,0.5316,-0.4976,-3.759,46.842,group,88221,90297
direct_vs_group_full,Kannst,63,9,72,0.7141,0.0997,0.6144,2.7743,46.824,direct,88221,90297
direct_vs_group_full,Fach,33,0,33,0.3741,0.0,0.3741,6.0996,46.5197,direct,88221,90297
direct_vs_group_full,vom,36,120,156,0.4081,1.3289,-0.9209,-1.6895,45.7856,group,88221,90297
direct_vs_group_full,klar,112,34,146,1.2695,0.3765,0.893,1.7388,45.7561,direct,88221,90297
direct_vs_group_full,Patient,397,623,1020,4.5001,6.8995,-2.3994,-0.6159,45.3739,group,88221,90297
direct_vs_group_full,Hast,45,3,48,0.5101,0.0332,0.4769,3.734,45.0815,direct,88221,90297
direct_vs_group_full,würde,234,114,348,2.6524,1.2625,1.3899,1.0678,45.0792,direct,88221,90297
direct_vs_group_full,auch,690,477,1167,7.8213,5.2826,2.5387,0.5657,44.2074,direct,88221,90297
direct_vs_group_full,stabil,4,49,53,0.0453,0.5427,-0.4973,-3.4259,44.0719,group,88221,90297
direct_vs_group_full,Typ,1,38,39,0.0113,0.4208,-0.4095,-4.6483,43.9089,group,88221,90297
direct_vs_group_full,Kalinor,2,42,44,0.0227,0.4651,-0.4425,-4.0539,43.8007,group,88221,90297
direct_vs_group_full,hatte,222,107,329,2.5164,1.185,1.3314,1.083,43.7783,direct,88221,90297
direct_vs_group_full,Mo,21,89,110,0.238,0.9856,-0.7476,-2.024,43.6672,group,88221,90297
direct_vs_group_full,eingebracht,1,37,38,0.0113,0.4098,-0.3984,-4.6103,42.5984,group,88221,90297
direct_vs_group_full,Samstag,15,75,90,0.17,0.8306,-0.6606,-2.2507,42.2821,group,88221,90297
direct_vs_group_full,Danke,211,101,312,2.3917,1.1185,1.2732,1.0927,42.229,direct,88221,90297
direct_vs_group_full,Bitte,28,101,129,0.3174,1.1185,-0.8011,-1.7989,42.1777,group,88221,90297
direct_vs_group_full,morgen,371,221,592,4.2053,2.4475,1.7579,0.7796,41.9932,direct,88221,90297
direct_vs_group_full,hattest,35,1,36,0.3967,0.0111,0.3857,4.5983,41.5633,direct,88221,90297
direct_vs_group_full,super,85,22,107,0.9635,0.2436,0.7198,1.9596,41.0845,direct,88221,90297
direct_vs_group_full,also,99,30,129,1.1222,0.3322,0.7899,1.7394,40.5283,direct,88221,90297
direct_vs_group_full,Könntest,47,5,52,0.5328,0.0554,0.4774,3.144,40.1501,direct,88221,90297
direct_vs_group_full,deine,44,4,48,0.4987,0.0443,0.4544,3.3394,39.9427,direct,88221,90297
direct_vs_group_full,weißt,37,2,39,0.4194,0.0221,0.3973,3.9404,39.1075,direct,88221,90297
direct_vs_group_full,einfach,79,20,99,0.8955,0.2215,0.674,1.9889,38.9971,direct,88221,90297
direct_vs_group_full,RS,7,53,60,0.0793,0.587,-0.5076,-2.801,38.8882,group,88221,90297
direct_vs_group_full,nochmal,291,165,456,3.2985,1.8273,1.4712,0.8502,38.2653,direct,88221,90297
direct_vs_group_full,Dir,66,14,80,0.7481,0.155,0.5931,2.2309,37.9276,direct,88221,90297
direct_vs_group_full,werden,123,244,367,1.3942,2.7022,-1.308,-0.9518,37.8852,group,88221,90297
direct_vs_group_full,habe,722,521,1243,8.184,5.7698,2.4141,0.5039,37.4892,direct,88221,90297
direct_vs_group_full,und,1636,2050,3686,18.5443,22.7029,-4.1585,-0.2918,37.4666,group,88221,90297
direct_vs_group_full,kurz,133,53,186,1.5076,0.587,0.9206,1.3528,37.4427,direct,88221,90297
direct_vs_group_full,gerne,177,83,260,2.0063,0.9192,1.0871,1.1215,36.9882,direct,88221,90297
direct_vs_group_full,Moin,35,2,37,0.3967,0.0221,0.3746,3.8614,36.5045,direct,88221,90297
direct_vs_group_full,jedoch,14,67,81,0.1587,0.742,-0.5833,-2.1853,36.4897,group,88221,90297
direct_vs_group_full,Todo,10,58,68,0.1134,0.6423,-0.529,-2.4445,36.3708,group,88221,90297
direct_vs_group_full,jetzt,283,162,445,3.2079,1.7941,1.4138,0.8365,36.1936,direct,88221,90297
direct_vs_group_full,hallo,31,1,32,0.3514,0.0111,0.3403,4.4259,36.1636,direct,88221,90297
direct_vs_group_full,lg,31,1,32,0.3514,0.0111,0.3403,4.4259,36.1636,direct,88221,90297
direct_vs_group_full,könntest,100,34,134,1.1335,0.3765,0.757,1.5761,35.5222,direct,88221,90297
direct_vs_group_full,restriktiven,0,26,26,0.0,0.2879,-0.2879,-5.6944,35.4424,group,88221,90297
direct_vs_group_full,doch,91,29,120,1.0315,0.3212,0.7103,1.6666,35.0952,direct,88221,90297
direct_vs_group_full,Teil,63,14,77,0.7141,0.155,0.5591,2.1643,34.8773,direct,88221,90297
direct_vs_group_full,machen,176,85,261,1.995,0.9413,1.0537,1.0792,34.5561,direct,88221,90297
direct_vs_group_full,Torem,4,41,45,0.0453,0.4541,-0.4087,-3.1716,34.5324,group,88221,90297
direct_vs_group_full,Tacrolimus,0,25,25,0.0,0.2769,-0.2769,-5.6389,34.0793,group,88221,90297
direct_vs_group_full,Und,71,19,90,0.8048,0.2104,0.5944,1.908,33.2116,direct,88221,90297
direct_vs_group_full,schreiben,55,11,66,0.6234,0.1218,0.5016,2.3044,33.0537,direct,88221,90297
direct_vs_group_full,Morgen,113,44,157,1.2809,0.4873,0.7936,1.3844,33.0115,direct,88221,90297
direct_vs_group_full,IIÂ°,0,24,24,0.0,0.2658,-0.2658,-5.5812,32.7161,group,88221,90297
direct_vs_group_full,M,2,33,35,0.0227,0.3655,-0.3428,-3.7106,32.4717,group,88221,90297
direct_vs_group_full,sichten,2,33,35,0.0227,0.3655,-0.3428,-3.7106,32.4717,group,88221,90297
direct_vs_group_full,Beschwerden,4,39,43,0.0453,0.4319,-0.3866,-3.1003,32.1874,group,88221,90297
direct_vs_group_full,vielleicht,119,49,168,1.3489,0.5427,0.8062,1.3051,31.7262,direct,88221,90297
direct_vs_group_full,beteiligt,0,23,23,0.0,0.2547,-0.2547,-5.521,31.3529,group,88221,90297
direct_vs_group_full,Ah,34,3,37,0.3854,0.0332,0.3522,3.3347,31.1952,direct,88221,90297
direct_vs_group_full,passt,55,12,67,0.6234,0.1329,0.4905,2.1841,30.9065,direct,88221,90297
direct_vs_group_full,magst,27,1,28,0.306,0.0111,0.295,4.23,30.7965,direct,88221,90297
direct_vs_group_full,&,5,40,45,0.0567,0.443,-0.3863,-2.8469,30.1804,group,88221,90297
direct_vs_group_full,Kolo,7,45,52,0.0793,0.4984,-0.419,-2.5673,30.1235,group,88221,90297
direct_vs_group_full,sehen,98,37,135,1.1108,0.4098,0.7011,1.4268,30.0242,direct,88221,90297
direct_vs_group_full,Morning,0,22,22,0.0,0.2436,-0.2436,-5.4583,29.9897,group,88221,90297
direct_vs_group_full,klinisch,0,22,22,0.0,0.2436,-0.2436,-5.4583,29.9897,group,88221,90297
direct_vs_group_full,ERCP,2,31,33,0.0227,0.3433,-0.3206,-3.6218,29.988,group,88221,90297
