category,direct_total_count,direct_unique_emoji_shortcodes,direct_percentage,direct_representative_shortcodes,direct_visual_examples,group_total_count,group_unique_emoji_shortcodes,group_percentage,group_representative_shortcodes,group_visual_examples,percentage_point_difference_group_minus_direct,combined_total_count
positive affect / friendliness,54,14,34.18,:blush: (12); :relaxed: (9); :wink: (7),😊 (12); ☺️ (9); 😉 (7),28.0,9.0,44.44,:blush: (12); :relaxed: (4); :wink: (3),😊 (12); ☺️ (4); 😉 (3),10.26,82.0
humor / softening,30,9,18.99,:sweat_smile: (13); :joy: (5); :see_no_evil: (3),😅 (13); 😂 (5); 🙈 (3),8.0,5.0,12.7,:sweat_smile: (3); :joy: (2); :clown_face: (1),😅 (3); 😂 (2); 🤡 (1),-6.29,38.0
approval / agreement,29,5,18.35,:+1: (23); :muscle: (2); :v: (2),👍 (23); 💪 (2); ✌️ (2),7.0,2.0,11.11,:+1: (6); :white_check_mark: (1),👍 (6); ✅ (1),-7.24,36.0
objects / symbols / other,8,8,5.06,:coffee: (1); :sleeping: (1); :mask: (1),☕ (1); 😴 (1); 😷 (1),11.0,5.0,17.46,:iphone: (6); :tada: (2); :mailbox_with_no_mail: (1),📱 (6); 🎉 (2); 📭 (1),12.4,19.0
concern / uncertainty,14,9,8.86,:thinking_face: (3); :woman_shrugging: (3); :woman-shrugging: (2),🤔 (3); 🤷‍♀️ (3); 🤷‍♀️ (2),4.0,4.0,6.35,:weary: (1); :sleepy: (1); :hot_face: (1),😩 (1); 😪 (1); 🥵 (1),-2.51,18.0
skepticism / mild negativity,14,5,8.86,:face_with_rolling_eyes: (4); :unamused: (3); :roll_eyes: (3),🙄 (4); 😒 (3); 🙄 (3),1.0,1.0,1.59,:upside_down_face: (1),🙃 (1),-7.27,15.0
affection / support,4,4,2.53,:kissing_heart: (1); :pray: (1); :tulip: (1),😘 (1); 🙏 (1); 🌷 (1),2.0,2.0,3.17,:tulip: (1); :heart_eyes: (1),🌷 (1); 😍 (1),0.64,6.0
celebration / seasonal,3,3,1.9,:cake: (1); :christmas_tree: (1); :champagne: (1),🎂 (1); 🎄 (1); 🍾 (1),2.0,1.0,3.17,:partying_face: (2),🥳 (2),1.27,5.0
information / direction,2,2,1.27,:bulb: (1); :arrow_right: (1),💡 (1); ➡️ (1),0.0,0.0,0.0,,,-1.27,2.0
