direction,low_quantile,high_quantile,low_cutoff_message_count,high_cutoff_message_count,occupied_cells,low_cells,high_cells,low_messages,high_messages
direct,0.25,0.75,6.0,105.0,83,23,22,66,2840
group,0.25,0.75,7.0,44.5,83,21,21,70,1318
