corpus,thread_bin,n_threads,percentage
direct,1-5,153,52.218430034129696
direct,6-10,49,16.723549488054605
direct,11-20,32,10.921501706484642
direct,21-50,36,12.286689419795222
direct,51-100,15,5.1194539249146755
direct,>100,8,2.7303754266211606
group,1-5,45,52.32558139534884
group,6-10,16,18.6046511627907
group,11-20,10,11.627906976744185
group,21-50,7,8.13953488372093
group,51-100,4,4.651162790697675
group,>100,4,4.651162790697675
