final_entity_type,entity_label,direct_mentions_per_1000_tokens,group_mentions_per_1000_tokens,direct_mentions,group_mentions,direct_vs_group_rate_ratio
symptom,Symptom,2.459731809886535,6.489695117224271,217,586,0.3790211659340008
medication,Medication,3.57057843370626,5.448686002857238,315,492,0.6553100016836874
diagnosis,Diagnosis,2.833792407703382,4.684541014651649,250,423,0.6049242388614474
procedure,Procedure,2.777116559549313,3.532786249820038,245,319,0.7860981002433366
therapy,Therapy,1.201527980866234,1.594737366689923,106,144,0.7534331395019328
treatment,Treatment,0.6007639904331169,0.7641449882055882,53,69,0.7861911020889734
clinical_risk,Clinical risk,0.1926978837238299,0.4651317319512276,17,42,0.4142866858716826
